sample,student_name,trial,reaction_time
1,Isabel Santos,5,433.7
1,Isabel Santos,6,453.9
1,Isabel Santos,7,445.2
1,Isabel Santos,8,385.9
1,Isabel Santos,9,228.5
1,Isabel Santos,10,356.7
1,Jack Williams,1,322.6
1,Jack Williams,2,287.2
1,Jack Williams,3,237.2
1,Jack Williams,4,260.1
1,Jack Williams,5,279.6
1,Jack Williams,6,160.1
1,Jack Williams,7,304.3
1,Jack Williams,8,293.8
1,Jack Williams,9,235.7
1,Jack Williams,10,303.3
1,Kezia Adeyemi,1,411.6
1,Kezia Adeyemi,2,227.4
1,Kezia Adeyemi,3,437.6
1,Kezia Adeyemi,4,399.2
1,Kezia Adeyemi,5,398.3
1,Kezia Adeyemi,6,397.6
1,Kezia Adeyemi,7,373.7
1,Kezia Adeyemi,8,313.3
1,Kezia Adeyemi,9,251.3
1,Kezia Adeyemi,10,356.6
1,Liam O'Brien,1,350.2
1,Liam O'Brien,2,280.4
1,Liam O'Brien,3,487.7
1,Liam O'Brien,4,410.0
1,Liam O'Brien,5,312.7
1,Liam O'Brien,6,206.0
1,Liam O'Brien,7,268.2
1,Liam O'Brien,8,380.3
1,Liam O'Brien,9,317.2
1,Liam O'Brien,10,227.7
1,Maya Singh,1,341.6
1,Maya Singh,2,305.6
1,Maya Singh,3,285.0
1,Maya Singh,4,213.8
1,Maya Singh,5,347.3
1,Maya Singh,6,228.4
1,Maya Singh,7,301.1
1,Maya Singh,8,417.1
1,Maya Singh,9,424.2
1,Maya Singh,10,308.2
1,Noah Clarke,1,71.9
1,Noah Clarke,2,395.9
1,Noah Clarke,3,253.6
1,Noah Clarke,4,214.3
1,Noah Clarke,5,394.6
1,Noah Clarke,6,175.8
1,Noah Clarke,7,392.3
1,Noah Clarke,8,408.6
1,Noah Clarke,9,374.6
1,Noah Clarke,10,349.8
1,Priya Sharma,1,317.0
1,Priya Sharma,2,285.6
1,Priya Sharma,3,235.1
1,Priya Sharma,4,526.6
1,Priya Sharma,5,288.9
1,Priya Sharma,6,248.5
1,Priya Sharma,7,318.6
1,Priya Sharma,8,375.3
1,Priya Sharma,9,412.7
1,Priya Sharma,10,307.2
1,Oscar Bennett,1,258.9
1,Oscar Bennett,2,207.3
1,Oscar Bennett,3,253.4
1,Oscar Bennett,4,348.1
1,Oscar Bennett,5,269.8
1,Oscar Bennett,6,244.0
1,Oscar Bennett,7,289.5
1,Oscar Bennett,8,209.0
1,Oscar Bennett,9,92.7
1,Oscar Bennett,10,233.9
1,Ravi Kapoor,1,92.4
1,Ravi Kapoor,2,322.6
1,Ravi Kapoor,3,379.7
1,Ravi Kapoor,4,428.4
1,Ravi Kapoor,5,389.7
1,Ravi Kapoor,6,348.0
1,Ravi Kapoor,7,258.3
1,Ravi Kapoor,8,252.1
1,Ravi Kapoor,9,327.2
1,Ravi Kapoor,10,271.9
1,Sofia Lindqvist,1,219.5
1,Sofia Lindqvist,2,304.6
1,Sofia Lindqvist,3,228.8
1,Sofia Lindqvist,4,147.3
1,Sofia Lindqvist,5,282.4
1,Sofia Lindqvist,6,220.6
1,Sofia Lindqvist,7,344.6
1,Sofia Lindqvist,8,410.2
1,Sofia Lindqvist,9,365.0
1,Sofia Lindqvist,10,337.7
1,Tariq Hassan,1,418.6
1,Tariq Hassan,2,220.3
1,Tariq Hassan,3,254.5
1,Tariq Hassan,4,318.9
1,Tariq Hassan,5,269.8
1,Tariq Hassan,6,315.5
1,Tariq Hassan,7,271.2
1,Tariq Hassan,8,281.0
1,Tariq Hassan,9,267.1
1,Tariq Hassan,10,366.1
1,Uma Devi,1,320.4
1,Uma Devi,2,225.4
1,Uma Devi,3,325.9
1,Uma Devi,4,284.7
1,Uma Devi,5,458.2
1,Uma Devi,6,366.8
1,Uma Devi,7,443.5
1,Uma Devi,8,345.5
1,Uma Devi,9,414.0
1,Uma Devi,10,400.8
2,Alice Johnson,1,268.4
2,Alice Johnson,2,379.1
2,Alice Johnson,3,313.3
2,Alice Johnson,4,167.9
2,Alice Johnson,5,418.4
2,Alice Johnson,6,426.3
2,Alice Johnson,7,305.0
2,Alice Johnson,8,319.3
2,Alice Johnson,9,290.9
2,Alice Johnson,10,367.3
2,Ben Okafor,1,216.0
2,Ben Okafor,2,336.1
2,Ben Okafor,3,253.6
2,Ben Okafor,4,156.1
2,Ben Okafor,5,323.8
2,Ben Okafor,6,305.6
2,Ben Okafor,7,109.7
2,Ben Okafor,8,281.5
2,Ben Okafor,9,313.2
2,Ben Okafor,10,257.9
2,Chloe Martinez,1,283.8
2,Chloe Martinez,2,428.2
2,Chloe Martinez,3,268.5
2,Chloe Martinez,4,471.7
2,Chloe Martinez,5,263.4
2,Chloe Martinez,6,403.8
2,Chloe Martinez,7,476.8
2,Chloe Martinez,8,216.0
2,Chloe Martinez,9,364.7
2,Chloe Martinez,10,263.4
2,David Kim,1,427.1
2,David Kim,2,480.7
2,David Kim,3,509.4
2,David Kim,4,446.1
2,David Kim,5,331.4
2,David Kim,6,420.4
2,David Kim,7,581.9
2,David Kim,8,465.9
2,David Kim,9,548.2
2,David Kim,10,457.9
2,Emma Thompson,1,219.4
2,Emma Thompson,2,297.3
2,Emma Thompson,3,380.6
2,Emma Thompson,4,241.4
2,Emma Thompson,5,379.2
2,Emma Thompson,6,158.0
2,Emma Thompson,7,314.7
2,Emma Thompson,8,370.9
2,Emma Thompson,9,164.2
2,Emma Thompson,10,367.9
2,Faisal Rahman,1,432.9
2,Faisal Rahman,2,435.5
2,Faisal Rahman,3,218.1
2,Faisal Rahman,4,236.5
2,Faisal Rahman,5,453.9
2,Faisal Rahman,6,454.0
2,Faisal Rahman,7,268.6
2,Faisal Rahman,8,245.7
2,Faisal Rahman,9,439.9
2,Faisal Rahman,10,193.0
2,Grace Chen,1,364.5
2,Grace Chen,2,169.1
2,Grace Chen,3,186.9
2,Grace Chen,4,315.8
2,Grace Chen,5,364.0
2,Grace Chen,6,366.3
2,Grace Chen,7,319.4
2,Grace Chen,8,233.7
2,Grace Chen,9,238.5
2,Grace Chen,10,326.4
2,Harry Patel,1,369.4
2,Harry Patel,2,235.5
2,Harry Patel,3,252.3
2,Harry Patel,4,259.6
2,Harry Patel,5,314.5
2,Harry Patel,6,230.2
2,Harry Patel,7,308.4
2,Harry Patel,8,327.2
2,Harry Patel,9,352.8
2,Harry Patel,10,348.0
2,Isabel Santos,1,233.7
2,Isabel Santos,2,344.6
2,Isabel Santos,3,377.1
2,Isabel Santos,4,281.3
2,Isabel Santos,5,306.2
2,Isabel Santos,6,457.4
2,Isabel Santos,7,172.9
2,Isabel Santos,8,522.6
2,Isabel Santos,9,442.5
2,Isabel Santos,10,313.8
2,Jack Williams,1,413.5
2,Jack Williams,2,194.7
2,Jack Williams,3,320.5
2,Jack Williams,4,158.5
2,Jack Williams,5,409.3
2,Jack Williams,6,222.2
2,Jack Williams,7,349.6
2,Jack Williams,8,294.4
2,Jack Williams,9,245.1
2,Jack Williams,10,230.8
2,Kezia Adeyemi,1,584.2
2,Kezia Adeyemi,2,313.1
2,Kezia Adeyemi,3,414.9
2,Kezia Adeyemi,4,427.6
2,Kezia Adeyemi,5,467.5
2,Kezia Adeyemi,6,463.8
2,Kezia Adeyemi,7,276.9
2,Kezia Adeyemi,8,369.6
2,Kezia Adeyemi,9,427.4
2,Kezia Adeyemi,10,396.6
2,Liam O'Brien,1,253.4
2,Liam O'Brien,2,272.4
2,Liam O'Brien,3,307.0
2,Liam O'Brien,4,216.0
2,Liam O'Brien,5,308.5
2,Liam O'Brien,6,361.5
2,Liam O'Brien,7,357.5
2,Liam O'Brien,8,354.7
2,Liam O'Brien,9,236.0
2,Liam O'Brien,10,173.4
2,Maya Singh,1,388.3
2,Maya Singh,2,298.5
2,Maya Singh,3,392.2
2,Maya Singh,4,492.6
2,Maya Singh,5,375.6
2,Maya Singh,6,340.2
2,Maya Singh,7,296.5
2,Maya Singh,8,279.0
2,Maya Singh,9,467.6
2,Maya Singh,10,152.9
2,Noah Clarke,1,285.1
2,Noah Clarke,2,401.8
2,Noah Clarke,3,215.3
2,Noah Clarke,4,295.3
2,Noah Clarke,5,277.8
2,Noah Clarke,6,349.3
2,Noah Clarke,7,423.1
2,Noah Clarke,8,264.0
2,Noah Clarke,9,215.7
2,Noah Clarke,10,245.9
2,Priya Sharma,1,506.8
2,Priya Sharma,2,508.3
2,Priya Sharma,3,377.2
2,Priya Sharma,4,393.5
2,Priya Sharma,5,288.2
2,Priya Sharma,6,427.1
2,Priya Sharma,7,320.2
2,Priya Sharma,8,269.8
2,Priya Sharma,9,362.5
2,Priya Sharma,10,315.8
2,Oscar Bennett,1,324.3
2,Oscar Bennett,2,303.6
2,Oscar Bennett,3,335.8
2,Oscar Bennett,4,316.9
2,Oscar Bennett,5,464.6
2,Oscar Bennett,6,369.4
2,Oscar Bennett,7,278.1
2,Oscar Bennett,8,351.1
2,Oscar Bennett,9,256.9
2,Oscar Bennett,10,305.6
2,Ravi Kapoor,1,187.3
2,Ravi Kapoor,2,185.7
2,Ravi Kapoor,3,284.4
2,Ravi Kapoor,4,153.1
2,Ravi Kapoor,5,284.1
2,Ravi Kapoor,6,240.1
2,Ravi Kapoor,7,276.3
2,Ravi Kapoor,8,332.8
2,Ravi Kapoor,9,357.4
2,Ravi Kapoor,10,306.9
2,Sofia Lindqvist,1,232.5
2,Sofia Lindqvist,2,359.8
2,Sofia Lindqvist,3,429.9
2,Sofia Lindqvist,4,332.7
2,Sofia Lindqvist,5,146.7
2,Sofia Lindqvist,6,200.0
2,Sofia Lindqvist,7,334.1
2,Sofia Lindqvist,8,280.3
2,Sofia Lindqvist,9,499.1
2,Sofia Lindqvist,10,265.0
2,Tariq Hassan,1,295.7
2,Tariq Hassan,2,361.9
2,Tariq Hassan,3,113.2
2,Tariq Hassan,4,389.9
2,Tariq Hassan,5,293.9
2,Tariq Hassan,6,195.6
2,Tariq Hassan,7,280.1
2,Tariq Hassan,8,413.7
2,Tariq Hassan,9,339.1
2,Tariq Hassan,10,83.7
2,Uma Devi,1,371.2
2,Uma Devi,2,306.7
2,Uma Devi,3,350.9
2,Uma Devi,4,224.9
2,Uma Devi,5,417.3
2,Uma Devi,6,416.1
2,Uma Devi,7,345.0
2,Uma Devi,8,334.0
2,Uma Devi,9,428.7
2,Uma Devi,10,374.2
3,Alice Johnson,1,293.5
3,Alice Johnson,2,252.0
3,Alice Johnson,3,253.8
3,Alice Johnson,4,382.8
3,Alice Johnson,5,300.1
3,Alice Johnson,6,411.4
3,Alice Johnson,7,274.9
3,Alice Johnson,8,263.1
3,Alice Johnson,9,400.5
3,Alice Johnson,10,298.6
3,Ben Okafor,1,288.5
3,Ben Okafor,2,283.7
3,Ben Okafor,3,431.3
3,Ben Okafor,4,317.8
3,Ben Okafor,5,368.1
3,Ben Okafor,6,405.9
3,Ben Okafor,7,349.9
3,Ben Okafor,8,224.2
3,Ben Okafor,9,345.5
3,Ben Okafor,10,423.3
3,Chloe Martinez,1,407.0
3,Chloe Martinez,2,352.7
3,Chloe Martinez,3,290.1
3,Chloe Martinez,4,410.9
3,Chloe Martinez,5,177.8
3,Chloe Martinez,6,425.0
3,Chloe Martinez,7,441.1
3,Chloe Martinez,8,260.0
3,Chloe Martinez,9,341.9
3,Chloe Martinez,10,182.8
3,David Kim,1,370.0
3,David Kim,2,324.1
3,David Kim,3,263.3
3,David Kim,4,396.8
3,David Kim,5,513.4
3,David Kim,6,455.1
3,David Kim,7,340.2
3,David Kim,8,498.3
3,David Kim,9,453.1
3,David Kim,10,547.4
3,Emma Thompson,1,281.9
3,Emma Thompson,2,386.6
3,Emma Thompson,3,467.0
3,Emma Thompson,4,145.0
3,Emma Thompson,5,369.2
3,Emma Thompson,6,213.8
3,Emma Thompson,7,252.4
3,Emma Thompson,8,311.6
3,Emma Thompson,9,333.8
3,Emma Thompson,10,451.4
3,Faisal Rahman,1,323.0
3,Faisal Rahman,2,306.6
3,Faisal Rahman,3,251.8
3,Faisal Rahman,4,216.5
3,Faisal Rahman,5,208.6
3,Faisal Rahman,6,378.6
3,Faisal Rahman,7,233.2
3,Faisal Rahman,8,443.6
3,Faisal Rahman,9,360.3
3,Faisal Rahman,10,415.0
3,Grace Chen,1,329.2
3,Grace Chen,2,471.3
3,Grace Chen,3,314.7
3,Grace Chen,4,343.8
3,Grace Chen,5,220.9
3,Grace Chen,6,227.3
3,Grace Chen,7,289.9
3,Grace Chen,8,379.8
3,Grace Chen,9,375.0
3,Grace Chen,10,408.0
3,Harry Patel,1,325.6
3,Harry Patel,2,165.8
3,Harry Patel,3,257.8
3,Harry Patel,4,265.4
3,Harry Patel,5,342.5
3,Harry Patel,6,371.8
3,Harry Patel,7,241.0
3,Harry Patel,8,177.3
3,Harry Patel,9,341.6
3,Harry Patel,10,419.0
3,Isabel Santos,1,408.0
3,Isabel Santos,2,262.2
3,Isabel Santos,3,274.6
3,Isabel Santos,4,239.2
3,Isabel Santos,5,396.2
3,Isabel Santos,6,277.7
3,Isabel Santos,7,350.3
3,Isabel Santos,8,293.7
3,Isabel Santos,9,368.7
3,Isabel Santos,10,431.9
3,Jack Williams,1,273.4
3,Jack Williams,2,308.8
3,Jack Williams,3,284.7
3,Jack Williams,4,273.1
3,Jack Williams,5,228.5
3,Jack Williams,6,181.4
3,Jack Williams,7,75.8
3,Jack Williams,8,287.0
3,Jack Williams,9,274.5
3,Jack Williams,10,353.7
3,Kezia Adeyemi,1,336.8
3,Kezia Adeyemi,2,213.4
3,Kezia Adeyemi,3,418.8
3,Kezia Adeyemi,4,561.2
3,Kezia Adeyemi,5,326.9
3,Kezia Adeyemi,6,429.6
3,Kezia Adeyemi,7,455.9
3,Kezia Adeyemi,8,271.0
3,Kezia Adeyemi,9,281.7
3,Kezia Adeyemi,10,407.2
3,Liam O'Brien,1,233.2
3,Liam O'Brien,2,174.1
3,Liam O'Brien,3,316.7
3,Liam O'Brien,4,483.8
3,Liam O'Brien,5,158.6
3,Liam O'Brien,6,217.5
3,Liam O'Brien,7,330.9
3,Liam O'Brien,8,238.2
3,Liam O'Brien,9,253.3
3,Liam O'Brien,10,269.2
3,Maya Singh,1,273.3
3,Maya Singh,2,287.5
3,Maya Singh,3,257.6
3,Maya Singh,4,376.8
3,Maya Singh,5,274.0
3,Maya Singh,6,251.6
3,Maya Singh,7,326.7
3,Maya Singh,8,369.2
3,Maya Singh,9,338.4
3,Maya Singh,10,351.9
3,Noah Clarke,1,378.5
3,Noah Clarke,2,99.1
3,Noah Clarke,3,168.6
3,Noah Clarke,4,190.4
3,Noah Clarke,5,163.7
3,Noah Clarke,6,281.7
3,Noah Clarke,7,276.0
3,Noah Clarke,8,370.8
3,Noah Clarke,9,258.5
3,Noah Clarke,10,170.8
3,Priya Sharma,1,440.7
3,Priya Sharma,2,420.4
3,Priya Sharma,3,341.1
3,Priya Sharma,4,474.1
3,Priya Sharma,5,563.4
3,Priya Sharma,6,268.2
3,Priya Sharma,7,265.8
3,Priya Sharma,8,391.0
3,Priya Sharma,9,291.8
3,Priya Sharma,10,390.2
3,Oscar Bennett,1,377.6
3,Oscar Bennett,2,263.7
3,Oscar Bennett,3,401.1
3,Oscar Bennett,4,378.0
3,Oscar Bennett,5,285.9
3,Oscar Bennett,6,407.3
3,Oscar Bennett,7,572.7
3,Oscar Bennett,8,376.0
3,Oscar Bennett,9,192.0
3,Oscar Bennett,10,285.7
3,Ravi Kapoor,1,279.1
3,Ravi Kapoor,2,251.2
3,Ravi Kapoor,3,366.4
3,Ravi Kapoor,4,481.1
3,Ravi Kapoor,5,335.5
3,Ravi Kapoor,6,232.4
3,Ravi Kapoor,7,361.4
3,Ravi Kapoor,8,214.8
3,Ravi Kapoor,9,391.7
3,Ravi Kapoor,10,335.8
3,Sofia Lindqvist,1,263.1
3,Sofia Lindqvist,2,242.1
3,Sofia Lindqvist,3,344.2
3,Sofia Lindqvist,4,407.9
3,Sofia Lindqvist,5,423.2
3,Sofia Lindqvist,6,320.8
3,Sofia Lindqvist,7,333.1
3,Sofia Lindqvist,8,291.1
3,Sofia Lindqvist,9,228.1
3,Sofia Lindqvist,10,238.0
3,Tariq Hassan,1,436.7
3,Tariq Hassan,2,260.8
3,Tariq Hassan,3,451.0
3,Tariq Hassan,4,270.4
3,Tariq Hassan,5,181.2
3,Tariq Hassan,6,270.7
3,Tariq Hassan,7,347.2
3,Tariq Hassan,8,305.4
3,Tariq Hassan,9,364.5
3,Tariq Hassan,10,504.2
3,Uma Devi,1,339.0
3,Uma Devi,2,312.1
3,Uma Devi,3,271.3
3,Uma Devi,4,294.1
3,Uma Devi,5,451.8
3,Uma Devi,6,411.6
3,Uma Devi,7,453.1
3,Uma Devi,8,334.4
3,Uma Devi,9,261.2
3,Uma Devi,10,319.6
4,Alice Johnson,1,348.1
4,Alice Johnson,2,485.2
4,Alice Johnson,3,124.8
4,Alice Johnson,4,342.7
4,Alice Johnson,5,112.7
4,Alice Johnson,6,346.5
4,Alice Johnson,7,134.3
4,Alice Johnson,8,253.7
4,Alice Johnson,9,325.7
4,Alice Johnson,10,196.6
4,Ben Okafor,1,372.3
4,Ben Okafor,2,416.3
4,Ben Okafor,3,428.4
4,Ben Okafor,4,250.2
4,Ben Okafor,5,427.0
4,Ben Okafor,6,317.1
4,Ben Okafor,7,406.7
4,Ben Okafor,8,455.4
4,Ben Okafor,9,315.6
4,Ben Okafor,10,400.5
4,Chloe Martinez,1,279.2
4,Chloe Martinez,2,245.1
4,Chloe Martinez,3,440.1
4,Chloe Martinez,4,224.3
4,Chloe Martinez,5,440.1
4,Chloe Martinez,6,426.4
4,Chloe Martinez,7,235.8
4,Chloe Martinez,8,299.7
4,Chloe Martinez,9,337.0
4,Chloe Martinez,10,232.6
4,David Kim,1,263.0
4,David Kim,2,213.9
4,David Kim,3,238.6
4,David Kim,4,150.9
4,David Kim,5,169.8
4,David Kim,6,241.6
4,David Kim,7,297.2
4,David Kim,8,329.9
4,David Kim,9,99.4
4,David Kim,10,232.5
4,Emma Thompson,1,457.6
4,Emma Thompson,2,305.4
4,Emma Thompson,3,160.4
4,Emma Thompson,4,222.7
4,Emma Thompson,5,306.7
4,Emma Thompson,6,358.6
4,Emma Thompson,7,383.1
4,Emma Thompson,8,440.0
4,Emma Thompson,9,319.9
4,Emma Thompson,10,348.4
4,Faisal Rahman,1,456.8
4,Faisal Rahman,2,485.2
4,Faisal Rahman,3,309.0
4,Faisal Rahman,4,331.6
4,Faisal Rahman,5,463.1
4,Faisal Rahman,6,335.8
4,Faisal Rahman,7,249.6
4,Faisal Rahman,8,356.4
4,Faisal Rahman,9,278.6
4,Faisal Rahman,10,395.2
4,Grace Chen,1,330.8
4,Grace Chen,2,544.8
4,Grace Chen,3,367.0
4,Grace Chen,4,372.5
4,Grace Chen,5,396.5
4,Grace Chen,6,250.3
4,Grace Chen,7,425.4
4,Grace Chen,8,464.3
4,Grace Chen,9,147.7
4,Grace Chen,10,355.1
4,Harry Patel,1,312.7
4,Harry Patel,2,283.3
4,Harry Patel,3,359.8
4,Harry Patel,4,267.6
4,Harry Patel,5,285.4
4,Harry Patel,6,298.5
4,Harry Patel,7,352.3
4,Harry Patel,8,218.1
4,Harry Patel,9,357.9
4,Harry Patel,10,224.3
4,Isabel Santos,1,394.8
4,Isabel Santos,2,298.1
4,Isabel Santos,3,170.2
4,Isabel Santos,4,352.5
4,Isabel Santos,5,291.0
4,Isabel Santos,6,390.1
4,Isabel Santos,7,376.3
4,Isabel Santos,8,414.3
4,Isabel Santos,9,371.9
4,Isabel Santos,10,407.7
4,Jack Williams,1,419.0
4,Jack Williams,2,424.9
4,Jack Williams,3,237.7
4,Jack Williams,4,394.9
4,Jack Williams,5,489.5
4,Jack Williams,6,287.8
4,Jack Williams,7,383.6
4,Jack Williams,8,466.8
4,Jack Williams,9,397.6
4,Jack Williams,10,273.9
4,Kezia Adeyemi,1,319.8
4,Kezia Adeyemi,2,453.7
4,Kezia Adeyemi,3,262.1
4,Kezia Adeyemi,4,412.4
4,Kezia Adeyemi,5,424.1
4,Kezia Adeyemi,6,384.4
4,Kezia Adeyemi,7,395.4
4,Kezia Adeyemi,8,357.8
4,Kezia Adeyemi,9,368.0
4,Kezia Adeyemi,10,350.5
4,Liam O'Brien,1,351.1
4,Liam O'Brien,2,214.7
4,Liam O'Brien,3,349.7
4,Liam O'Brien,4,408.2
4,Liam O'Brien,5,334.6
4,Liam O'Brien,6,300.8
4,Liam O'Brien,7,389.4
4,Liam O'Brien,8,229.2
4,Liam O'Brien,9,152.3
4,Liam O'Brien,10,353.4
4,Maya Singh,1,237.4
4,Maya Singh,2,185.8
4,Maya Singh,3,275.2
4,Maya Singh,4,279.4
4,Maya Singh,5,400.9
4,Maya Singh,6,314.7
4,Maya Singh,7,370.8
4,Maya Singh,8,373.0
4,Maya Singh,9,331.7
4,Maya Singh,10,341.6
4,Noah Clarke,1,317.2
4,Noah Clarke,2,329.6
4,Noah Clarke,3,375.4
4,Noah Clarke,4,370.4
4,Noah Clarke,5,624.5
4,Noah Clarke,6,388.4
4,Noah Clarke,7,294.9
4,Noah Clarke,8,256.3
4,Noah Clarke,9,226.7
4,Noah Clarke,10,470.3
4,Priya Sharma,1,221.9
4,Priya Sharma,2,370.8
4,Priya Sharma,3,370.1
4,Priya Sharma,4,230.6
4,Priya Sharma,5,335.9
4,Priya Sharma,6,384.6
4,Priya Sharma,7,147.2
4,Priya Sharma,8,352.6
4,Priya Sharma,9,403.1
4,Priya Sharma,10,290.2
4,Oscar Bennett,1,302.1
4,Oscar Bennett,2,307.8
4,Oscar Bennett,3,133.5
4,Oscar Bennett,4,278.0
4,Oscar Bennett,5,382.3
4,Oscar Bennett,6,233.5
4,Oscar Bennett,7,341.1
4,Oscar Bennett,8,424.3
4,Oscar Bennett,9,331.6
4,Oscar Bennett,10,422.4
4,Ravi Kapoor,1,207.5
4,Ravi Kapoor,2,280.3
4,Ravi Kapoor,3,427.3
4,Ravi Kapoor,4,234.0
4,Ravi Kapoor,5,297.6
4,Ravi Kapoor,6,626.2
4,Ravi Kapoor,7,363.5
4,Ravi Kapoor,8,320.1
4,Ravi Kapoor,9,181.5
4,Ravi Kapoor,10,266.3
4,Sofia Lindqvist,1,270.4
4,Sofia Lindqvist,2,204.4
4,Sofia Lindqvist,3,235.1
4,Sofia Lindqvist,4,343.4
4,Sofia Lindqvist,5,233.7
4,Sofia Lindqvist,6,328.0
4,Sofia Lindqvist,7,165.4
4,Sofia Lindqvist,8,190.9
4,Sofia Lindqvist,9,441.5
4,Sofia Lindqvist,10,381.4
4,Tariq Hassan,1,365.9
4,Tariq Hassan,2,370.4
4,Tariq Hassan,3,287.9
4,Tariq Hassan,4,392.2
4,Tariq Hassan,5,257.2
4,Tariq Hassan,6,385.3
4,Tariq Hassan,7,266.3
4,Tariq Hassan,8,376.1
4,Tariq Hassan,9,357.9
4,Tariq Hassan,10,351.5
4,Uma Devi,1,158.0
4,Uma Devi,2,225.1
4,Uma Devi,3,377.4
4,Uma Devi,4,273.5
4,Uma Devi,5,276.7
4,Uma Devi,6,260.5
4,Uma Devi,7,380.7
4,Uma Devi,8,309.3
4,Uma Devi,9,267.0
4,Uma Devi,10,238.3
5,Alice Johnson,1,338.8
5,Alice Johnson,2,344.0
5,Alice Johnson,3,415.1
5,Alice Johnson,4,230.0
5,Alice Johnson,5,370.2
5,Alice Johnson,6,320.2
5,Alice Johnson,7,422.8
5,Alice Johnson,8,384.0
5,Alice Johnson,9,419.8
5,Alice Johnson,10,330.7
5,Ben Okafor,1,311.3
5,Ben Okafor,2,361.8
5,Ben Okafor,3,424.3
5,Ben Okafor,4,309.5
5,Ben Okafor,5,255.4
5,Ben Okafor,6,342.3
5,Ben Okafor,7,334.7
5,Ben Okafor,8,217.8
5,Ben Okafor,9,226.0
5,Ben Okafor,10,273.5
5,Chloe Martinez,1,315.3
5,Chloe Martinez,2,389.7
5,Chloe Martinez,3,395.8
5,Chloe Martinez,4,283.0
5,Chloe Martinez,5,261.5
5,Chloe Martinez,6,242.5
5,Chloe Martinez,7,273.4
5,Chloe Martinez,8,358.3
5,Chloe Martinez,9,412.4
5,Chloe Martinez,10,364.4
5,David Kim,1,349.2
5,David Kim,2,214.7
5,David Kim,3,394.3
5,David Kim,4,349.5
5,David Kim,5,348.2
5,David Kim,6,316.2
5,David Kim,7,351.5
5,David Kim,8,323.6
5,David Kim,9,310.0
5,David Kim,10,430.9
5,Emma Thompson,1,271.8
5,Emma Thompson,2,330.2
5,Emma Thompson,3,248.8
5,Emma Thompson,4,356.2
5,Emma Thompson,5,271.7
5,Emma Thompson,6,342.8
5,Emma Thompson,7,321.9
5,Emma Thompson,8,239.5
5,Emma Thompson,9,520.0
5,Emma Thompson,10,274.1
5,Faisal Rahman,1,252.4
5,Faisal Rahman,2,258.6
5,Faisal Rahman,3,103.0
5,Faisal Rahman,4,231.5
5,Faisal Rahman,5,157.2
5,Faisal Rahman,6,137.9
5,Faisal Rahman,7,167.4
5,Faisal Rahman,8,516.2
5,Faisal Rahman,9,251.2
5,Faisal Rahman,10,148.7
5,Grace Chen,1,312.8
