name,trial,reaction_time_ms,device,caffeine,timestamp,finger_mm
Harper Hussain,3,275,Phone,No,2026-09-15T09:23:08Z,68
Harper Hussain,4,285,Phone,No,2026-09-15T09:23:12Z,68
Harper Hussain,5,246,Phone,No,2026-09-15T09:23:16Z,68
Harper Hussain,6,411,Phone,No,2026-09-15T09:23:20Z,68
Harper Hussain,7,303,Phone,No,2026-09-15T09:23:24Z,68
Harper Hussain,8,391,Phone,No,2026-09-15T09:23:28Z,68
Harper Hussain,9,287,Phone,No,2026-09-15T09:23:32Z,68
Harper Hussain,10,334,Phone,No,2026-09-15T09:23:36Z,68
Morgan Evans,1,228,Laptop,Yes,2026-09-15T09:17:00Z,68
Morgan Evans,2,383,Laptop,Yes,2026-09-15T09:17:04Z,68
Morgan Evans,3,276,Laptop,Yes,2026-09-15T09:17:08Z,68
Morgan Evans,4,370,Laptop,Yes,2026-09-15T09:17:12Z,68
Morgan Evans,5,367,Laptop,Yes,2026-09-15T09:17:16Z,68
Morgan Evans,6,320,Laptop,Yes,2026-09-15T09:17:20Z,68
Morgan Evans,7,284,Laptop,Yes,2026-09-15T09:17:24Z,68
Morgan Evans,8,302,Laptop,Yes,2026-09-15T09:17:28Z,68
Morgan Evans,9,289,Laptop,Yes,2026-09-15T09:17:32Z,68
Morgan Evans,10,197,Laptop,Yes,2026-09-15T09:17:36Z,68
Kai Brooks,1,262,Laptop,Yes,2026-09-15T09:11:00Z,74
Kai Brooks,2,260,Laptop,Yes,2026-09-15T09:11:04Z,74
Kai Brooks,3,359,Laptop,Yes,2026-09-15T09:11:08Z,74
Kai Brooks,4,306,Laptop,Yes,2026-09-15T09:11:12Z,74
Kai Brooks,5,333,Laptop,Yes,2026-09-15T09:11:16Z,74
Kai Brooks,6,287,Laptop,Yes,2026-09-15T09:11:20Z,74
Kai Brooks,7,336,Laptop,Yes,2026-09-15T09:11:24Z,74
Kai Brooks,8,296,Laptop,Yes,2026-09-15T09:11:28Z,74
Kai Brooks,9,293,Laptop,Yes,2026-09-15T09:11:32Z,74
Kai Brooks,10,315,Laptop,Yes,2026-09-15T09:11:36Z,74
Gray Gupta,1,313,Laptop,Yes,2026-09-15T09:32:00Z,69
Gray Gupta,2,421,Laptop,Yes,2026-09-15T09:32:04Z,69
Gray Gupta,3,285,Laptop,Yes,2026-09-15T09:32:08Z,69
Gray Gupta,4,522,Laptop,Yes,2026-09-15T09:32:12Z,69
Gray Gupta,5,264,Laptop,Yes,2026-09-15T09:32:16Z,69
Gray Gupta,6,204,Laptop,Yes,2026-09-15T09:32:20Z,69
Gray Gupta,7,248,Laptop,Yes,2026-09-15T09:32:24Z,69
Gray Gupta,8,447,Laptop,Yes,2026-09-15T09:32:28Z,69
Gray Gupta,9,257,Laptop,Yes,2026-09-15T09:32:32Z,69
Gray Gupta,10,219,Laptop,Yes,2026-09-15T09:32:36Z,69
Taylor Lopez,1,515,Phone,No,2026-09-15T09:06:00Z,64
Taylor Lopez,2,288,Phone,No,2026-09-15T09:06:04Z,64
Taylor Lopez,3,593,Phone,No,2026-09-15T09:06:08Z,64
Taylor Lopez,4,329,Phone,No,2026-09-15T09:06:12Z,64
Taylor Lopez,5,480,Phone,No,2026-09-15T09:06:16Z,64
Taylor Lopez,6,336,Phone,No,2026-09-15T09:06:20Z,64
Taylor Lopez,7,380,Phone,No,2026-09-15T09:06:24Z,64
Taylor Lopez,8,343,Phone,No,2026-09-15T09:06:28Z,64
Taylor Lopez,9,337,Phone,No,2026-09-15T09:06:32Z,64
Taylor Lopez,10,366,Phone,No,2026-09-15T09:06:36Z,64
Drew Farrell,1,352,Laptop,No,2026-09-15T09:19:00Z,64
Drew Farrell,2,312,Laptop,No,2026-09-15T09:19:04Z,64
Drew Farrell,3,293,Laptop,No,2026-09-15T09:19:08Z,64
Drew Farrell,4,310,Laptop,No,2026-09-15T09:19:12Z,64
Drew Farrell,5,486,Laptop,No,2026-09-15T09:19:16Z,64
Drew Farrell,6,389,Laptop,No,2026-09-15T09:19:20Z,64
Drew Farrell,7,255,Laptop,No,2026-09-15T09:19:24Z,64
Drew Farrell,8,307,Laptop,No,2026-09-15T09:19:28Z,64
Drew Farrell,9,363,Laptop,No,2026-09-15T09:19:32Z,64
Drew Farrell,10,319,Laptop,No,2026-09-15T09:19:36Z,64
Alex Patel,1,334,Laptop,No,2026-09-15T09:26:00Z,65
Alex Patel,2,231,Laptop,No,2026-09-15T09:26:04Z,65
Alex Patel,3,296,Laptop,No,2026-09-15T09:26:08Z,65
Alex Patel,4,268,Laptop,No,2026-09-15T09:26:12Z,65
Alex Patel,5,270,Laptop,No,2026-09-15T09:26:16Z,65
Alex Patel,6,368,Laptop,No,2026-09-15T09:26:20Z,65
Alex Patel,7,271,Laptop,No,2026-09-15T09:26:24Z,65
Alex Patel,8,298,Laptop,No,2026-09-15T09:26:28Z,65
Alex Patel,9,206,Laptop,No,2026-09-15T09:26:32Z,65
Alex Patel,10,385,Laptop,No,2026-09-15T09:26:36Z,65
Quinn Adeyemi,1,308,Phone,No,2026-09-15T09:22:00Z,72
Quinn Adeyemi,2,270,Phone,No,2026-09-15T09:22:04Z,72
Quinn Adeyemi,3,412,Phone,No,2026-09-15T09:22:08Z,72
Quinn Adeyemi,4,446,Phone,No,2026-09-15T09:22:12Z,72
Quinn Adeyemi,5,353,Phone,No,2026-09-15T09:22:16Z,72
Quinn Adeyemi,6,353,Phone,No,2026-09-15T09:22:20Z,72
Quinn Adeyemi,7,309,Phone,No,2026-09-15T09:22:24Z,72
Quinn Adeyemi,8,288,Phone,No,2026-09-15T09:22:28Z,72
Quinn Adeyemi,9,264,Phone,No,2026-09-15T09:22:32Z,72
Quinn Adeyemi,10,315,Phone,No,2026-09-15T09:22:36Z,72
Finley Martins,1,292,Phone,Yes,2026-09-15T09:16:00Z,71
Finley Martins,2,291,Phone,Yes,2026-09-15T09:16:04Z,71
Finley Martins,3,252,Phone,Yes,2026-09-15T09:16:08Z,71
Finley Martins,4,233,Phone,Yes,2026-09-15T09:16:12Z,71
Finley Martins,5,287,Phone,Yes,2026-09-15T09:16:16Z,71
Finley Martins,6,213,Phone,Yes,2026-09-15T09:16:20Z,71
Finley Martins,7,205,Phone,Yes,2026-09-15T09:16:24Z,71
Finley Martins,8,270,Phone,Yes,2026-09-15T09:16:28Z,71
Finley Martins,9,285,Phone,Yes,2026-09-15T09:16:32Z,71
Finley Martins,10,270,Phone,Yes,2026-09-15T09:16:36Z,71
Logan Turner,1,339,Laptop,No,2026-09-15T09:41:00Z,73
Logan Turner,2,228,Laptop,No,2026-09-15T09:41:04Z,73
Logan Turner,3,191,Laptop,No,2026-09-15T09:41:08Z,73
Logan Turner,4,271,Laptop,No,2026-09-15T09:41:12Z,73
Logan Turner,5,229,Laptop,No,2026-09-15T09:41:16Z,73
Logan Turner,6,307,Laptop,No,2026-09-15T09:41:20Z,73
Logan Turner,7,265,Laptop,No,2026-09-15T09:41:24Z,73
Logan Turner,8,217,Laptop,No,2026-09-15T09:41:28Z,73
Logan Turner,9,247,Laptop,No,2026-09-15T09:41:32Z,73
Logan Turner,10,304,Laptop,No,2026-09-15T09:41:36Z,73
Sage Chen,1,259,Phone,Yes,2026-09-15T09:35:00Z,68
Sage Chen,2,232,Phone,Yes,2026-09-15T09:35:04Z,68
Sage Chen,3,275,Phone,Yes,2026-09-15T09:35:08Z,68
Sage Chen,4,266,Phone,Yes,2026-09-15T09:35:12Z,68
Sage Chen,5,310,Phone,Yes,2026-09-15T09:35:16Z,68
Sage Chen,6,293,Phone,Yes,2026-09-15T09:35:20Z,68
Sage Chen,7,256,Phone,Yes,2026-09-15T09:35:24Z,68
Sage Chen,8,354,Phone,Yes,2026-09-15T09:35:28Z,68
Sage Chen,9,271,Phone,Yes,2026-09-15T09:35:32Z,68
Sage Chen,10,199,Phone,Yes,2026-09-15T09:35:36Z,68
Casey O'Connor,1,220,Laptop,Yes,2026-09-15T09:43:00Z,71
Casey O'Connor,2,279,Laptop,Yes,2026-09-15T09:43:04Z,71
Casey O'Connor,3,197,Laptop,Yes,2026-09-15T09:43:08Z,71
Casey O'Connor,4,256,Laptop,Yes,2026-09-15T09:43:12Z,71
Casey O'Connor,5,276,Laptop,Yes,2026-09-15T09:43:16Z,71
Casey O'Connor,6,260,Laptop,Yes,2026-09-15T09:43:20Z,71
Casey O'Connor,7,552,Laptop,Yes,2026-09-15T09:43:24Z,71
Casey O'Connor,8,246,Laptop,Yes,2026-09-15T09:43:28Z,71
Casey O'Connor,9,294,Laptop,Yes,2026-09-15T09:43:32Z,71
Casey O'Connor,10,503,Laptop,Yes,2026-09-15T09:43:36Z,71
Ellis Quraishi,1,368,Laptop,No,2026-09-15T09:20:00Z,73
Ellis Quraishi,2,251,Laptop,No,2026-09-15T09:20:04Z,73
Ellis Quraishi,3,208,Laptop,No,2026-09-15T09:20:08Z,73
Ellis Quraishi,4,362,Laptop,No,2026-09-15T09:20:12Z,73
Ellis Quraishi,5,328,Laptop,No,2026-09-15T09:20:16Z,73
Ellis Quraishi,6,821,Laptop,No,2026-09-15T09:20:20Z,73
Ellis Quraishi,7,404,Laptop,No,2026-09-15T09:20:24Z,73
Ellis Quraishi,8,272,Laptop,No,2026-09-15T09:20:28Z,73
Ellis Quraishi,9,243,Laptop,No,2026-09-15T09:20:32Z,73
Ellis Quraishi,10,297,Laptop,No,2026-09-15T09:20:36Z,73
Reese Khan,1,199,Laptop,Yes,2026-09-15T09:23:00Z,68
Reese Khan,2,605,Laptop,Yes,2026-09-15T09:23:04Z,68
Reese Khan,3,183,Laptop,Yes,2026-09-15T09:23:08Z,68
Reese Khan,4,229,Laptop,Yes,2026-09-15T09:23:12Z,68
Reese Khan,5,210,Laptop,Yes,2026-09-15T09:23:16Z,68
Reese Khan,6,275,Laptop,Yes,2026-09-15T09:23:20Z,68
Reese Khan,7,271,Laptop,Yes,2026-09-15T09:23:24Z,68
Reese Khan,8,323,Laptop,Yes,2026-09-15T09:23:28Z,68
Reese Khan,9,195,Laptop,Yes,2026-09-15T09:23:32Z,68
Reese Khan,10,240,Laptop,Yes,2026-09-15T09:23:36Z,68
Bailey Davies,1,308,Laptop,No,2026-09-15T09:44:00Z,72
Bailey Davies,2,306,Laptop,No,2026-09-15T09:44:04Z,72
Bailey Davies,3,418,Laptop,No,2026-09-15T09:44:08Z,72
Bailey Davies,4,296,Laptop,No,2026-09-15T09:44:12Z,72
Bailey Davies,5,247,Laptop,No,2026-09-15T09:44:16Z,72
Bailey Davies,6,287,Laptop,No,2026-09-15T09:44:20Z,72
Bailey Davies,7,248,Laptop,No,2026-09-15T09:44:24Z,72
Bailey Davies,8,198,Laptop,No,2026-09-15T09:44:28Z,72
Bailey Davies,9,265,Laptop,No,2026-09-15T09:44:32Z,72
Bailey Davies,10,408,Laptop,No,2026-09-15T09:44:36Z,72
Noor Nguyen,1,406,Phone,No,2026-09-15T09:04:00Z,67
Noor Nguyen,2,362,Phone,No,2026-09-15T09:04:04Z,67
Noor Nguyen,3,426,Phone,No,2026-09-15T09:04:08Z,67
Noor Nguyen,4,462,Phone,No,2026-09-15T09:04:12Z,67
Noor Nguyen,5,382,Phone,No,2026-09-15T09:04:16Z,67
Noor Nguyen,6,397,Phone,No,2026-09-15T09:04:20Z,67
Noor Nguyen,7,388,Phone,No,2026-09-15T09:04:24Z,67
Noor Nguyen,8,377,Phone,No,2026-09-15T09:04:28Z,67
Noor Nguyen,9,331,Phone,No,2026-09-15T09:04:32Z,67
Noor Nguyen,10,327,Phone,No,2026-09-15T09:04:36Z,67
Indigo Rossi,1,320,Laptop,No,2026-09-15T09:25:00Z,68
Indigo Rossi,2,348,Laptop,No,2026-09-15T09:25:04Z,68
Indigo Rossi,3,272,Laptop,No,2026-09-15T09:25:08Z,68
Indigo Rossi,4,271,Laptop,No,2026-09-15T09:25:12Z,68
Indigo Rossi,5,575,Laptop,No,2026-09-15T09:25:16Z,68
Indigo Rossi,6,219,Laptop,No,2026-09-15T09:25:20Z,68
Indigo Rossi,7,336,Laptop,No,2026-09-15T09:25:24Z,68
Indigo Rossi,8,218,Laptop,No,2026-09-15T09:25:28Z,68
Indigo Rossi,9,260,Laptop,No,2026-09-15T09:25:32Z,68
Indigo Rossi,10,310,Laptop,No,2026-09-15T09:25:36Z,68
